DATE	NEGCODE	NAME	SECTOR	WEIGHT	EXPECTEDRETURN	FORWARDReturn
2017-10-27	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.025359	0.000953620893446343	-0.11818523624514357
2017-10-27	USIM5	Usinas Siderúrgicas de Minas Gerais S.A.	Basic Materials	0.003024	0.005832349524727393	-0.025191675794085478
2017-10-27	VALE3	Vale S.A.	Basic Materials	0.090439	0.0009290958987220204	0.09677419354838727
2017-10-27	WEGE3	WEG S.A.	Industrial Goods	0.010008	0.0018744882215107424	0.05604446503010657
2017-09-28	ABEV3	Ambev S.A.	Consumer Goods	0.070389	0.0010794463450261042	-0.007122507122507056
2017-09-28	BBSE3	BB Seguridade Participações S.A.	Financial	0.015991	-5.895183056429666e-05	0.0024535576586049873
2017-09-28	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.038677	0.0011855199548994558	0.07084933845497227
2017-09-28	BRML3	BR Malls Participações S.A.	Financial	0.009792	-0.0005109883523391125	-0.0489208633093525
2017-09-28	BBDC3	Banco Bradesco S.A.	Financial	0.015069999999999998	0.00017191094402197257	0.024316109422492533
2017-09-28	BBDC4	Banco Bradesco S.A.	Financial	0.084595	0.0002924367494172686	0.035590277777777686
2017-09-28	BRAP4	Bradespar S.A.	Financial	0.005115	-0.0002940404619452882	0.02402022756005058
2017-09-28	BBAS3	Banco do Brasil S.A.	Financial	0.032339	0.0004407671392775233	0.05705183898059655
2017-09-28	BRKM5	Braskem S.A.	Basic Materials	0.008661	0.0015478426947715047	0.1288867790173273
2017-09-28	BRFS3	BRF S.A.	Consumer Goods	0.029184	0.0008242626472924838	-0.01294143452511523
2017-09-28	CCRO3	CCR S.A.	Industrial Goods	0.016733	-0.00021605593339792678	0.06547960941987367
2017-09-28	CMIG4	Companhia Energética de Minas Gerais	Utilities	0.005992	-0.0017333621381213945	-0.0062111801242236905
2017-09-28	CIEL3	Cielo S.A.	Technology	0.021523	-0.0017285549092185036	-0.02419730107026522
2017-09-28	CPLE6	Companhia Paranaense de Energia - COPEL	Utilities	0.002493	-0.001116818613628151	-0.06001420454545459
2017-09-28	CSAN3	Cosan S.A. Indústria e Comércio	Basic Materials	0.0050929999999999994	-0.0010632710454387432	0.05861111111111109
2017-09-28	CPFE3	CPFL Energia S.A.	Utilities	0.010744	0.0004134021368407283	0.009565857247976511
2017-09-28	CYRE3	Cyrela Brazil Realty S.A. Empreendimentos e Participações	Industrial Goods	0.002762	0.00017280514968723995	-0.005983545250560963
2017-09-28	ECOR3	EcoRodovias Infraestrutura e Logística S.A.	Industrial Goods	0.0017100000000000001	0.0010277382326303601	0.11855203619909489
2017-09-28	ELET3	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.004082	0.0008061282950427913	0.19744245524296672
2017-09-28	ELET6	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.003985	0.00021923290732800933	0.20529801324503322
2017-09-28	EMBR3	Embraer S.A.	Industrial Goods	0.011297999999999999	5.729229013224924e-06	-0.1337402885682575
2017-09-28	ENBR3	EDP - Energias do Brasil S.A.	Utilities	0.003865	0.0005225892427483764	0.0
2017-09-28	EGIE3	Engie Brasil Energia S.A.	Utilities	0.006321	-0.0001551635107128845	0.007980187121629035
2017-09-28	EQTL3	Equatorial Energia S.A.	Utilities	0.010399	0.00020330476857185123	0.024509803921568627
2017-09-28	ESTC3	Estácio Participações S.A.	Services	0.006836	0.004990359630721339	-0.07642276422764233
2017-09-28	FIBR3	Fibria Celulose S.A.	Consumer Goods	0.008239	0.003170246112983044	0.21506373117033606
2017-09-28	GGBR4	Gerdau S.A.	Basic Materials	0.010128999999999999	-0.0011932869220823584	0.06629834254143653
2017-09-28	GOAU4	Metalurgica Gerdau S.A.	Basic Materials	0.0027800000000000004	-0.0005983398541489907	0.07421874999999997
2017-09-28	HYPE3	Hypera S.A.	Healthcare	0.010065	0.0011023716757378739	0.06716886377903329
2017-09-28	ITSA4	Itaúsa - Investimentos Itaú S.A.	Financial	0.033778	0.00044098650498437597	0.03049907578558226
2017-09-28	ITUB4	Itaú Unibanco Holding S.A.	Financial	0.108072	0.0004685769692741875	0.01605397859469532
2017-09-28	JBSS3	JBS S.A.	Consumer Goods	0.011401	-0.0013528652937735413	-0.06787878787878783
2017-09-28	KLBN11	Klabin S.A.	Basic Materials	0.007554	0.0012039603771748578	0.057891862370289586
2017-09-28	KROT3	Kroton Educacional S.A.	Services	0.022525	0.0021583617003949227	-0.04397905759162302
2017-09-28	RENT3	Localiza Rent a Car S.A.	Services	0.00842	0.002720548825975382	0.017241379310344827
2017-09-28	LAME4	Lojas Americanas S.A.	Services	0.010216000000000001	0.000921818312394045	-0.05125467164975979
2017-09-28	LREN3	Lojas Renner S.A.	Services	0.018491999999999998	0.0020813842121513554	0.020279920022850638
2017-09-28	MRFG3	Marfrig Global Foods S.A.	Consumer Goods	0.002465	-0.0002585358002020439	0.02503912363067295
2017-09-28	MRVE3	MRV Engenharia e Participações S.A.	Industrial Goods	0.003281	-0.00025850192514305587	0.01787043931496651
2017-09-28	MULT3	Multiplan Empreendimentos Imobiliários S.A.	Financial	0.00561	0.000612601416050791	0.021497919556172144
2017-09-28	NATU3	Natura Cosméticos S.A.	Consumer Goods	0.0043630000000000006	0.0012811603756321924	0.033925686591276275
2017-09-28	PCAR4	Companhia Brasileira de Distribuição	Services	0.009603	0.0017260791062486014	0.06410256410256426
2017-09-28	PETR3	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.032506	-0.00027201571385236656	0.09365179132620984
2017-09-28	PETR4	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.048365	-3.196099234697991e-06	0.11016949152542381
2017-09-28	QUAL3	Qualicorp S.A.	Healthcare	0.00718	0.004353326153921772	-0.045280960174577105
2017-09-28	RADL3	Raia Drogasil S.A.	Healthcare	0.012583	0.0011080797461420625	0.061307901907356945
2017-09-28	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009389	-7.897489968056517e-05	-0.06834201654918798
2017-09-28	SANB11	BCO Santander(Brasil) S.A.	Financial	0.009205999999999999	-0.0014765784240840538	0.10073260073260074
2017-09-28	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.004488	-0.001631842187393151	-0.0022026431718061203
2017-09-28	SUZB5	Suzano Papel e Celulose S.A.	Consumer Goods	0.006993	0.002348340828418238	0.0974960042621205
2017-09-28	TAEE11	Transmissora Aliança de Energia Elétrica S.A.	Utilities	0.0035670000000000003	3.95993074798491e-05	-0.05045871559633034
2017-09-28	VIVT4	Telefônica Brasil S.A.	Technology	0.017415	0.0006139551861544451	0.024079601990049767
2017-09-28	TIMP3	TIM Participações S.A.	Technology	0.007832	0.0012254949777024586	0.0556030795551754
2017-09-28	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.025359	0.0007724010193794329	0.05696118691217395
2017-09-28	USIM5	Usinas Siderúrgicas de Minas Gerais S.A.	Basic Materials	0.003024	0.0028429750057480116	0.2028985507246378
2017-09-28	VALE3	Vale S.A.	Basic Materials	0.090439	-0.0004855042653201898	0.025196850393700697
2017-09-28	WEGE3	WEG S.A.	Industrial Goods	0.010008	0.0013612321796234183	0.02419354838709685
2017-08-30	ABEV3	Ambev S.A.	Consumer Goods	0.07299	0.0009716044242981906	0.05935613682092554
2017-08-30	BBSE3	BB Seguridade Participações S.A.	Financial	0.01857	9.196574055051402e-05	0.03896576839038603
2017-08-30	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.035750000000000004	0.0013801277622334626	0.04785330948121647
2017-08-30	BRML3	BR Malls Participações S.A.	Financial	0.00801	0.00011490105279689263	0.022058823529411818
2017-08-30	BBDC3	Banco Bradesco S.A.	Financial	0.01581	0.00023834479720248437	0.008274593931964327
2017-08-30	BBDC4	Banco Bradesco S.A.	Financial	0.08244	0.0004691100281028423	0.027043090638930276
